typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","31","AZE","Azerbaijan","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271311","Petroleum coke; (not calcined), obtained from bituminous minerals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","187559049","false","-1","N/A",,"false","187559049","false",,"false",,"15004725","15004725","0","true","false",
"C","A","20130101","2013","52","2013","40","AUT","Austria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271312","Petroleum coke; calcined, obtained from bituminous minerals","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","1635","false","8","kg","1635","false","1635","false","0","false",,"1102.235","1102.235","0","true","false",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271320","Petroleum bitumen; obtained from bituminous minerals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","26981460","false","-1","N/A",,"false","26981460","false",,"false",,"8992900","8992900","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271390","Residues; of petroleum oils or of oils obtained from bituminous minerals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","270","false","8","kg","270","false","270","false","0","false","0","1925.929","1925.929","0","true","false",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271390","Residues; of petroleum oils or of oils obtained from bituminous minerals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","172823","false","-1","N/A",,"false","172823","false",,"false",,"87900","87900","0","true","false",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271410","Bituminous or oil shale and tar sands","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1000","false","-1","N/A",,"false","1000","false",,"false",,"1000","1000","0","true","false",
"C","A","20130101","2013","52","2013","76","BRA","Brazil","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271490","Bitumen and asphalt, natural; asphaltites and asphaltic rock","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17.884","true","8","kg","8","false","17.884","true","0","false",,"127","127","6","false","true",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","290230","Cyclic hydrocarbons; toluene","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16117","false","8","kg","16117","false","16117","false","0","false","0","32980.471","32980.471","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","290244","Cyclic hydrocarbons; mixed xylene isomers","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6","false","8","kg","6","false","6","false","0","false","0","311.052","311.052","0","true","false",
"C","A","20130101","2013","52","2013","40","AUT","Austria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","381900","Hydraulic fluids; for brakes and other prepared liquids for hydraulic transmission, not containing or containing less than 70% by weight of petroleum oils or oils obtained from bituminous minerals","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","48","false","8","kg","48","false","48","false","0","false",,"290.831","290.831","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","381900","Hydraulic fluids; for brakes and other prepared liquids for hydraulic transmission, not containing or containing less than 70% by weight of petroleum oils or oils obtained from bituminous minerals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","749363","false","8","kg","749363","false","749363","false","0","false","0","2576799.302","2576799.302","0","true","false",
"C","A","20130101","2013","52","2013","100","BGR","Bulgaria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","381900","Hydraulic fluids; for brakes and other prepared liquids for hydraulic transmission, not containing or containing less than 70% by weight of petroleum oils or oils obtained from bituminous minerals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","90","false","-1","N/A",,"false","90","false",,"false",,"304","304","0","true","false",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","381900","Hydraulic fluids; for brakes and other prepared liquids for hydraulic transmission, not containing or containing less than 70% by weight of petroleum oils or oils obtained from bituminous minerals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","89996","false","-1","N/A",,"false","89996","false",,"false",,"215000","215000","0","true","false",
"C","A","20130101","2013","52","2013","40","AUT","Austria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","741991","Copper; cast, moulded, stamped or forged, but not further worked","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","686","false","8","kg","686","false","686","false","0","false",,"10343.749","10343.749","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","741991","Copper; cast, moulded, stamped or forged, but not further worked","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","61","false","8","kg","61","false","61","false","0","false","0","6331.075","6331.075","0","true","false",
